date      <=_0   Lo_30  Med_40   Hi_30   Lo_20   Qnt_2   Qnt_3   Qnt_4   Hi_20   Lo_10   Dec_2   Dec_3   Dec_4   Dec_5   Dec_6   Dec_7   Dec_8   Dec_9   Hi_10
197108    6.94    5.09    6.15   -0.10    4.70    6.69    5.13    2.82    0.42    3.70    5.37    6.00    7.38    5.52    4.77    6.06   -1.06   -1.19    4.22
197109   -1.38    0.29   -0.69   -1.16   -0.11    0.29   -1.14   -0.76   -1.03    0.88   -0.76    1.22   -0.62   -1.29   -1.01   -0.27   -1.39    0.06   -3.49
197110   -7.13   -4.12   -4.58   -2.39   -3.99   -4.03   -5.56   -3.95   -1.90   -5.02   -3.29   -4.43   -3.63   -5.09   -5.99   -4.46   -3.30   -2.15   -1.32
197111   -3.14    0.92   -0.35   -0.38    0.82    0.86   -1.44   -0.07   -0.57    0.90    0.76    1.14    0.58   -1.97   -0.94   -0.10   -0.03   -0.63   -0.43
197112   13.03   10.12    7.86    8.26   10.40    8.68    9.19    7.71    7.66   10.24   10.50    9.49    7.89    9.95    8.48    6.42    9.36    7.68    7.63
197201   11.18    3.43    1.48    1.18    4.37    1.35    1.89    0.28    2.22    4.01    4.60    1.27    1.43    1.53    2.22    1.08   -0.72    1.39    4.13
197202    3.41    5.97    1.89    0.19    5.50    4.64    3.06    0.66   -0.31    7.91    3.92    7.09    2.17    2.68    3.40    0.31    1.12   -0.49    0.10
197203    0.41    1.64    1.89   -1.90    1.66    2.19   -0.52    0.87   -1.51    1.54    1.74    1.58    2.84   -1.21    0.12    3.62   -2.63   -2.01   -0.39
197204    0.02    1.26    1.09   -1.04    1.45    1.66    0.70   -0.15   -1.42    2.26    0.90    0.82    2.54    1.15    0.30   -0.02   -0.33   -1.31   -1.68
197205    0.83    3.89   -0.68    1.04    4.19    1.74   -0.47   -0.27    0.54    5.55    3.25    3.19    0.25   -0.58   -0.36   -1.92    1.97    1.48   -1.53
197206   -3.95   -1.11   -3.03   -2.11   -1.39   -1.61   -3.56   -2.50   -2.03   -0.94   -1.71   -0.46   -2.82   -5.00   -2.25   -2.69   -2.27   -2.08   -1.91
197207   -5.96    1.15   -1.53   -0.40    1.51   -0.38   -1.60   -1.00   -0.35   -0.47    2.75    0.22   -1.25   -0.79   -2.26   -1.81   -0.50   -0.22   -0.62
197208    1.16    0.27    5.85    7.56    0.19    2.16    6.70    8.05    6.55    0.62   -0.06    0.47    4.65    5.58    7.63    5.69    9.47    7.91    3.51
197209   -4.37   -0.10   -2.18    0.44    0.21   -1.27   -2.65   -0.60    0.69   -0.54    0.66   -0.89   -1.82   -3.12   -2.26   -1.60   -0.01    1.04   -0.13
197210   -0.66    0.51    0.67    2.24    0.14    1.27    0.35    0.33    3.45    0.79   -0.25    1.46    1.00    1.20   -0.34    0.90    0.01    3.25    3.91
197211    3.58    2.05    7.18    7.71    1.36    4.59    6.61    8.82    7.75    0.56    1.85    3.84    5.68    5.34    7.66   10.89    7.63    7.75    7.75
197212   -1.66    2.97    0.12   -0.50    3.38    1.83   -0.97    0.10   -0.76    3.53    3.29    1.92    1.69   -0.38   -1.44    0.28   -0.01    0.29   -3.22
197301   -8.16   -1.53   -5.38   -0.10   -0.93   -4.10   -5.01   -2.18   -0.18   -3.85    0.82   -3.07   -5.58   -5.34   -4.74   -5.92    0.06    0.44   -1.70
197302  -10.68   -2.61   -4.84   -4.49   -2.42   -3.62   -5.21   -6.11   -3.23   -4.39   -1.29   -3.12   -4.33   -5.46   -5.01   -4.74   -6.89   -4.01   -1.29
197303   -2.56   -0.86   -1.32    0.91   -0.43   -1.66   -1.90    1.06    0.46   -2.06    0.47   -2.00   -1.16   -3.52   -0.58   -0.24    1.80    1.43   -1.90
197304  -11.05   -6.16   -4.96   -0.44   -6.66   -5.47   -4.44   -2.41    0.14   -7.98   -5.95   -4.80   -6.45   -4.77   -4.18   -3.90   -1.57    0.02    0.45
197305  -10.46   -0.59   -2.23   -2.66   -0.83   -1.18   -1.32   -4.22   -1.55   -0.06   -1.25    0.04   -3.01   -1.61   -1.10   -3.11   -4.83   -1.72   -1.12
197306   -5.87   -0.31   -2.41    0.24   -0.39   -0.63   -2.22   -1.61    0.42   -1.10   -0.01   -0.09   -1.46   -2.81   -1.75   -4.25   -0.12    0.93   -0.87
197307   16.79    6.53    3.63    1.89    5.76    8.11    4.45    2.49    0.76    5.86    5.66   10.15    5.25    2.44    8.14    1.39    5.37    1.28   -0.16
197308   -3.99   -3.21   -2.91   -2.93   -3.51   -1.91   -2.80   -3.94   -2.39   -3.43   -3.57   -1.87   -1.97   -3.81   -1.04   -3.70   -4.53   -3.24   -0.88
